	PC1	PC2	response
LuC-136_S6_ME_L001_R1_001ReadsPerGene	24.877645075226987	12.448940001732895	NR
LuC-128_S14_ME_L001_R1_001ReadsPerGene	37.777606953799	-19.35049830987377	R
LuC-95_S5_ME_L001_R1_001ReadsPerGene	-15.646364171385377	-1.2184028739916761	NR
LuC-135_S12_ME_L001_R1_001ReadsPerGene	-21.793387126592183	1.4087831557275818	NR
LuC2_S6_L007_R1_001ReadsPerGene	-17.402274159841884	-30.564852513203736	NR
LuC-84_S5_ME_L001_R1_001ReadsPerGene	99.56821056106519	55.71420224662766	R
Luc_65_S30_R1_001ReadsPerGene	-418.1525382775561	183.0666815553683	NR
LuC_59_S1_R1_001ReadsPerGene	-185.143265831728	-120.48381651887662	NR
LuC-80c_S10_ME_L001_R1_001ReadsPerGene	-195.83053301101825	-44.92339885236587	NR
LuC-81_S1_ME_L001_R1_001ReadsPerGene	74.77109946174933	34.8650638272643	R
LuC-126_S4_ME_L001_R1_001ReadsPerGene	49.98205124233189	31.859449030096357	NR
LuC-104_S8_ME_L001_R1_001ReadsPerGene	55.93254673838978	-1.0987038313067874	NR
LuC-107_S11_ME_L001_R1_001ReadsPerGene	33.80720631932755	16.248841131808923	NR
LuC-130_S3_ME_L001_R1_001ReadsPerGene	51.82017309680743	28.68199780247001	NR
LuC_53_S13_R1_001ReadsPerGene	0.6099830295659832	-32.01193826699487	NR
LuC_56_S19_R1_001ReadsPerGene	-336.5284203548542	-82.19060904610265	NR
LuC-134_S8_ME_L001_R1_001ReadsPerGene	73.29283060338103	13.641664292267723	NR
LuC_87_S25_R1_001ReadsPerGene	43.15072966438937	-17.892053543577266	R
LuC_73_S4_R1_001ReadsPerGene	23.475972449984283	5.22138749142214	NR
LuC_61_S17_R1_001ReadsPerGene	19.550026263411574	-32.14992731097314	NR
LuC-105_S6_ME_L001_R1_001ReadsPerGene	23.451444567592294	-0.8397834375832861	R
LuC_68_S2_R1_001ReadsPerGene	21.42598422717889	-36.290040787335414	NR
LuC-16_S5_R1_001ReadsPerGene	54.43080063973331	1.263643948206777	R
LuC-122_S7_ME_L001_R1_001ReadsPerGene	49.060440463756976	40.63945829515171	NR
LuC_72_S3_R1_001ReadsPerGene	-91.55340636765375	-114.82402814159933	NR
LuC-83_S4_ME_L001_R1_001ReadsPerGene	76.82330391726072	54.01151141171534	R
LuC_51_S11_R1_001ReadsPerGene	-2.7405960347386644	4.365291081503954	NR
LuC_52_S14_R1_001ReadsPerGene	13.266903273151495	-34.77111598421906	NR
Luc-45_S5_R1_001ReadsPerGene	-191.03031738312578	-131.46476240859866	R
LuC-121_S7_ME_L001_R1_001ReadsPerGene	76.95581513462976	33.77991833038544	R
LuC-92_S7_ME_L001_R1_001ReadsPerGene	80.84653934319897	50.31860413375028	R
LuC_57_S16_R1_001ReadsPerGene	18.76018442221518	-17.70758698669464	R
LuC_55_S15_R1_001ReadsPerGene	-27.082752024374663	-31.04551864328254	NR
LuC-99_S3_ME_L001_R1_001ReadsPerGene	43.77389196186805	4.018100387286406	NR
Luc_71_S2_R1_001ReadsPerGene	44.362660093092735	17.597408863485292	R
LuC-79_S7_ME_L001_R1_001ReadsPerGene	78.29351032604448	15.940329892730881	NR
LuC-108_S7_ME_L001_R1_001ReadsPerGene	86.32162336468338	19.89095133196386	NR
LuC-131_S11_ME_L001_R1_001ReadsPerGene	25.100428785577304	-17.981558606645176	R
Luc-1_S10_R1_001ReadsPerGene	-402.96432129823194	168.42279849029148	NR
LuC_62_S18_R1_001ReadsPerGene	12.296390041044596	-36.04429744717485	NR
LuC-129_S2_ME_L001_R1_001ReadsPerGene	15.636347929951318	16.591126238411643	NR
LuC-125_S9_ME_L001_R1_001ReadsPerGene	13.449096715132525	6.730057819092627	NR
LuC_50_S5_R1_001ReadsPerGene	-76.18968250888473	-68.46017886776328	NR
LuC_67_S30_R1_001ReadsPerGene	82.6698519998371	-3.057730905305984	NR
LuC-78_S6_ME_L001_R1_001ReadsPerGene	90.15009455327841	13.721298462911498	R
LuC_70_S1_R1_001ReadsPerGene	47.51372060976066	19.295439986166787	NR
Luc_64_S23_R1_001ReadsPerGene	-56.89523402477546	-26.82633347089223	NR
LuC-91_S1_ME_L001_R1_001ReadsPerGene	26.283253270942048	1.3776302776181295	NR
Luc_66_S24_R1_001ReadsPerGene	14.594684372891617	-4.507624875351838	NR
Luc_63_S22_R1_001ReadsPerGene	-21.864491108078383	-12.310015307948573	NR
LuC-123_S13_ME_L001_R1_001ReadsPerGene	68.97807500884434	7.592472665544307	NR
LuC-43_S12_R1_001ReadsPerGene	53.506293814263536	-11.161472894040775	NR
LuC-17_S8_R1_001ReadsPerGene	33.52216560634235	-22.42514216076552	NR
LuC_54_S12_R1_001ReadsPerGene	18.499720308791527	-20.738595560328243	NR
LuC_27_S10_R1_001ReadsPerGene	61.88726394660443	-10.299368370347812	R
LuC-85_CGRNAReadsPerGene	147.8800997843072	81.50062236353598	NR
LuC-111_S3_ME_L001_R1_001ReadsPerGene	92.46091374143508	42.42568140860528	NR
