Gene_id	median_trna_lenght
ENSG00000223972	1140.0
ENSG00000227232	1340.0
ENSG00000278267	67.0
ENSG00000243485	621.0
ENSG00000284332	137.0
ENSG00000237613	886.0
ENSG00000268020	839.0
ENSG00000240361	939.0
ENSG00000186092	917.0
ENSG00000238009	626.0
ENSG00000239945	1317.0
ENSG00000233750	3811.0
ENSG00000268903	754.0
ENSG00000269981	283.0
ENSG00000239906	321.0
ENSG00000241860	904.0
ENSG00000222623	103.0
ENSG00000241599	455.0
ENSG00000279928	565.0
ENSG00000279457	1387.0
ENSG00000273874	67.0
ENSG00000228463	1290.0
ENSG00000241670	456.0
ENSG00000236679	384.0
ENSG00000236743	673.0
ENSG00000236601	605.0
ENSG00000237094	570.0
ENSG00000269732	362.0
ENSG00000278566	938.0
ENSG00000224813	182.0
ENSG00000233653	2475.0
ENSG00000250575	1237.0
ENSG00000278757	103.0
ENSG00000230021	719.0
ENSG00000235146	502.5
ENSG00000225972	371.0
ENSG00000225630	1043.0
ENSG00000237973	1542.0
ENSG00000278791	88.0
ENSG00000229344	681.0
ENSG00000240409	206.0
ENSG00000248527	680.0
ENSG00000198744	546.0
ENSG00000268663	423.0
ENSG00000273547	938.0
ENSG00000283574	182.0
ENSG00000229376	2453.0
ENSG00000228327	3414.0
ENSG00000223181	103.0
ENSG00000229905	454.0
ENSG00000237491	636.0
ENSG00000230092	551.0
ENSG00000177757	1945.0
ENSG00000228794	721.0
ENSG00000225880	1316.0
ENSG00000230368	500.0
ENSG00000234711	1057.0
ENSG00000283040	832.0
ENSG00000272438	349.0
ENSG00000230699	3041.0
ENSG00000241180	441.0
ENSG00000223764	1385.0
ENSG00000187634	2147.0
ENSG00000188976	1241.0
ENSG00000187961	953.0
ENSG00000187583	2179.0
ENSG00000187642	3030.0
ENSG00000272512	2085.0
ENSG00000188290	965.5
ENSG00000187608	709.0
ENSG00000231702	153.0
ENSG00000224969	469.0
ENSG00000188157	778.0
ENSG00000242590	400.0
ENSG00000217801	655.5
ENSG00000273443	827.0
ENSG00000237330	1900.0
ENSG00000131591	972.0
ENSG00000223823	1617.0
ENSG00000207730	94.0
ENSG00000207607	89.0
ENSG00000198976	82.0
ENSG00000272141	986.0
ENSG00000205231	3530.0
ENSG00000162571	713.0
ENSG00000186891	785.0
ENSG00000186827	1061.0
ENSG00000078808	2072.0
ENSG00000176022	2776.0
ENSG00000184163	644.0
ENSG00000260179	1557.0
ENSG00000160087	857.0
ENSG00000230415	326.0
ENSG00000162572	2457.5
ENSG00000131584	813.0
ENSG00000278073	60.0
ENSG00000169972	938.0
ENSG00000127054	884.0
ENSG00000283712	64.0
ENSG00000240731	384.0
ENSG00000224051	1099.0
ENSG00000169962	3427.0
ENSG00000107404	801.0
ENSG00000284372	58.0
ENSG00000162576	1081.5
ENSG00000175756	832.5
ENSG00000223663	366.0
ENSG00000221978	1540.0
ENSG00000224870	1300.0
ENSG00000242485	651.0
ENSG00000264293	292.0
ENSG00000272455	1522.0
ENSG00000235098	1629.0
ENSG00000225905	541.0
ENSG00000205116	490.0
ENSG00000225285	475.0
ENSG00000179403	1480.5
ENSG00000215915	519.0
ENSG00000160072	3223.0
ENSG00000197785	2314.0
ENSG00000205090	714.0
ENSG00000160075	1760.0
ENSG00000215014	2100.0
ENSG00000274481	399.0
ENSG00000228594	2084.0
ENSG00000272106	2037.0
ENSG00000197530	1451.5
ENSG00000189409	770.0
ENSG00000248333	2468.0
ENSG00000272004	398.0
ENSG00000189339	2857.0
ENSG00000269737	960.5
ENSG00000215914	1010.0
ENSG00000008128	929.0
ENSG00000268575	5059.0
ENSG00000227775	471.5
ENSG00000215790	1424.0
ENSG00000008130	854.0
ENSG00000078369	1105.0
ENSG00000231050	904.0
ENSG00000169885	929.5
ENSG00000178821	780.0
ENSG00000142609	2138.0
ENSG00000233542	1952.0
ENSG00000187730	1570.0
ENSG00000226969	376.0
ENSG00000067606	696.5
ENSG00000271806	4195.0
ENSG00000182873	935.0
ENSG00000162585	1410.0
ENSG00000234396	324.0
ENSG00000157933	414.0
ENSG00000116151	1641.0
ENSG00000272161	492.0
ENSG00000269896	1309.5
ENSG00000272420	567.0
ENSG00000157916	687.0
ENSG00000157911	776.0
ENSG00000149527	4815.0
ENSG00000224387	453.0
ENSG00000229393	512.0
ENSG00000157881	720.0
ENSG00000197921	1303.0
ENSG00000272449	995.0
ENSG00000238164	1216.0
ENSG00000157873	878.5
ENSG00000225931	1294.0
ENSG00000228037	623.0
ENSG00000157870	1090.0
ENSG00000142606	552.0
ENSG00000237058	371.0
ENSG00000215912	5286.5
ENSG00000283259	1555.0
ENSG00000233234	605.0
ENSG00000231630	427.0
ENSG00000169717	1420.0
ENSG00000177133	1178.0
ENSG00000142611	3715.5
ENSG00000283572	60.0
ENSG00000226286	467.0
ENSG00000279839	2676.0
ENSG00000272235	3460.0
ENSG00000130762	2198.0
ENSG00000272088	381.0
ENSG00000162591	1171.0
ENSG00000207776	95.0
ENSG00000238260	619.0
ENSG00000158109	2297.0
ENSG00000116213	851.0
ENSG00000078900	2078.5
ENSG00000227589	751.0
ENSG00000235131	349.0
ENSG00000227372	1217.0
ENSG00000276189	160.0
ENSG00000162592	2240.0
ENSG00000235169	489.0
ENSG00000130764	571.0
ENSG00000266075	296.0
ENSG00000272153	530.0
ENSG00000116198	692.0
ENSG00000169598	2875.0
ENSG00000198912	2512.0
ENSG00000236423	1936.0
ENSG00000233304	558.0
ENSG00000226374	1398.0
ENSG00000229280	371.0
ENSG00000235054	1387.0
ENSG00000227169	354.0
ENSG00000232596	910.0
ENSG00000196581	2377.0
ENSG00000231510	445.0
ENSG00000260972	1696.0
ENSG00000283356	134.0
ENSG00000236948	602.5
ENSG00000264341	72.0
ENSG00000264101	69.0
ENSG00000131697	3964.0
ENSG00000069424	946.0
ENSG00000116254	3694.0
ENSG00000116251	689.0
ENSG00000226944	375.0
ENSG00000158286	608.0
ENSG00000116237	1914.5
ENSG00000225077	1216.5
ENSG00000173673	693.0
ENSG00000158292	4076.0
ENSG00000097021	1508.0
ENSG00000271746	836.0
ENSG00000069812	846.0
ENSG00000187017	662.0
ENSG00000265392	62.0
ENSG00000231868	348.0
ENSG00000215788	1029.5
ENSG00000171680	3732.0
ENSG00000162408	729.0
ENSG00000253022	110.0
ENSG00000229519	399.0
ENSG00000173662	1837.0
ENSG00000204859	1022.5
ENSG00000162413	1497.5
ENSG00000116273	2236.5
ENSG00000041988	928.0
ENSG00000007923	748.0
ENSG00000228750	544.0
ENSG00000237436	412.0
ENSG00000171735	684.5
ENSG00000227950	285.0
ENSG00000237365	347.0
ENSG00000207056	164.0
ENSG00000237402	363.0
ENSG00000237728	409.5
ENSG00000225126	359.0
ENSG00000270171	1720.0
ENSG00000270035	569.0
ENSG00000269978	266.0
ENSG00000049245	949.0
ENSG00000269925	392.0
ENSG00000049246	1514.0
ENSG00000236266	827.0
ENSG00000049247	555.0
ENSG00000049249	1247.0
ENSG00000270330	354.0
ENSG00000116288	782.5
ENSG00000200344	102.0
ENSG00000116285	992.0
ENSG00000238290	2041.0
ENSG00000232848	798.0
ENSG00000229305	1071.0
ENSG00000227634	692.5
ENSG00000200975	163.0
ENSG00000233645	475.0
ENSG00000251977	106.0
ENSG00000162426	2067.5
ENSG00000252254	112.0
ENSG00000142599	582.5
ENSG00000232912	474.0
ENSG00000221083	124.0
ENSG00000270282	368.0
ENSG00000234619	657.0
ENSG00000224315	702.0
ENSG00000222511	102.0
ENSG00000226545	413.0
ENSG00000228423	351.0
ENSG00000229716	368.0
ENSG00000074800	776.5
ENSG00000274258	88.0
ENSG00000236269	742.0
ENSG00000230679	454.0
ENSG00000201725	106.0
ENSG00000238249	742.0
ENSG00000232208	351.0
ENSG00000232663	162.0
ENSG00000131686	857.5
ENSG00000265141	298.0
ENSG00000197241	1527.0
ENSG00000142583	749.5
ENSG00000252404	183.0
ENSG00000180758	456.0
ENSG00000228526	527.0
ENSG00000284357	109.0
ENSG00000234546	885.0
ENSG00000281937	1763.0
ENSG00000049239	5585.0
ENSG00000171621	1220.5
ENSG00000252956	109.0
ENSG00000235263	706.0
ENSG00000171612	3847.0
ENSG00000231181	558.0
ENSG00000188807	3439.0
ENSG00000171608	3482.0
ENSG00000179840	1821.0
ENSG00000233268	419.0
ENSG00000231789	936.0
ENSG00000171603	3815.0
ENSG00000271264	244.0
ENSG00000280113	1315.0
ENSG00000178585	1024.0
ENSG00000223989	421.0
ENSG00000162441	937.0
ENSG00000228150	438.0
ENSG00000173614	1089.0
ENSG00000202415	318.0
ENSG00000283611	408.0
ENSG00000265521	77.0
ENSG00000241326	434.0
ENSG00000162444	744.0
ENSG00000130939	840.5
ENSG00000224340	336.0
ENSG00000233623	678.0
ENSG00000201746	106.0
ENSG00000054523	5864.0
ENSG00000264881	85.0
ENSG00000199562	106.0
ENSG00000264501	292.0
ENSG00000142657	655.5
ENSG00000271989	796.0
ENSG00000251503	622.0
ENSG00000175279	682.0
ENSG00000241563	1128.0
ENSG00000160049	1398.0
ENSG00000203469	465.0
ENSG00000142655	716.0
ENSG00000243267	279.0
ENSG00000130940	691.0
ENSG00000272078	7921.0
ENSG00000225158	237.0
ENSG00000175262	2347.0
ENSG00000215785	492.0
ENSG00000120948	788.0
ENSG00000277726	695.0
ENSG00000009724	1454.0
ENSG00000271895	759.0
ENSG00000116649	575.5
ENSG00000171824	604.0
ENSG00000226849	2680.0
ENSG00000230337	461.5
ENSG00000198793	1102.0
ENSG00000225602	685.0
ENSG00000253086	102.0
ENSG00000171819	1418.5
ENSG00000207451	106.0
ENSG00000238173	149.0
ENSG00000120942	1108.0
ENSG00000238199	435.0
ENSG00000224338	564.0
ENSG00000204624	1490.0
